TIME 24 HOURS,COUNTY,PLACE,Date DD/MM/YYYY,NORMALIZED_ROAD,TEXT_CLEAN,FINAL_VEHICLE,ACCIDENT_TYPE_PRED,TIMEOFDAY,ROAD CODE
21:00,KAJIADO,DAWAMU,2016-06-18,KISERIAN ISINYA,HEAD ON COLLISION,CAR,HEAD ON,NIGHT,OTHER
23:30,UASIN GISHU,KIMININI,2016-06-18,WEBUYE KITALE,THE CAR HIT THE MOTORCYCLE,CAR,DRIVER FAULT,NIGHT,OTHER
22:00,NAKURU,NGONG,2016-06-18,NAKURU ELDORET,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,NIGHT,A104
22:30,NAROK,OLOPITO,2016-06-18,OLOPITO NAROK,HIT AND RUN,CAR,HIT AND RUN,NIGHT,OTHER
01:10,NAIROBI,PATHWAY JUNCTION,2016-06-18,ROAD NGONG,HIT AND RUN,CAR,HIT AND RUN,NIGHT,OTHER
09:00,KAJIADO,IMPORO AREA,2016-06-17,OLENARA IMPORO,THE CAR LOST CONTROL VEERED OFF THE ROAD AND KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,MORNING,OTHER
19:20,NAIROBI,KANGEMI MARKET,2016-06-17,WAIYAKI,THE CAR KNOCKED DOWN THE PERSON,CAR,UNKNOWN,EVENING,OTHER
22:45,KERCHO,AISUKU AREA,2016-06-17,NAKURU KERICHO,HEAD ON COLLISION,BUS,HEAD ON,NIGHT,OTHER
20:10,KAKAMEGA,MWITOTI AREA,2016-06-17,MUMIAS KAKAMEGA,HIT AND RUN,TRUCK,HIT AND RUN,EVENING,OTHER
20:45,KAKAMEGA,MAKALE,2016-06-17,MATUNGU OKALLO MURRAM,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,EVENING,OTHER
06:45,KAKAMEGA,EBOKOLO,2016-06-16,EKERO EBUHANGA,HIT AND RAN,CAR,HIT AND RUN,MORNING,OTHER
09:00,HOMA BAY,BIAFRA,2016-06-16,KATITO KENDU BAY,HIT AND RAN,BUS,HIT AND RUN,MORNING,OTHER
21:00,NYERI,NATIONAL OIL PETROL STATION,2016-06-16,NYERI NANYUKI,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,NIGHT,A2
